FechaEnvio,NumeroFacturaDeCargos,NumeroDePago,CargosTotales,Creditos,MontoDeEnvio,TotalDelEnvio,MontoDelDescuento,CuotasEIncentivos,MontoDePago,IdAfiliacion,Número de establecimiento que envía,SucursalQueEnvia,ConteoDeTransacciones,FechaPago,NombreSucursal,IVA,Descripcion,FechaTransaccion,NumeroDeMensualidades
14/06/2026,1618,31667447,800.02,0,800.02,800.02,-0.8,0,799.09,7464542802,7464542802,,1,17/06/2026,BOLICHE,-0.13,,14/06/2026,0
14/06/2026,1619,31667447,"2,201.69",0,"2,201.69","2,201.69",-2.2,0,"2,199.14",7464542802,7464542802,,2,17/06/2026,BOLICHE,-0.35,,14/06/2026,0
14/06/2026,1620,31667447,"1,762.20",0,"1,762.20","1,762.20",-1.76,0,"1,760.16",7464542802,7464542802,,2,17/06/2026,BOLICHE,-0.28,,15/06/2026,0
14/06/2026,121,51661289,"1,133.31",0,"1,133.31","1,133.31",-1.13,0,"1,132.00",8487957920,8487957920,,1,17/06/2026,KANISTE,-0.18,,14/06/2026,0
14/06/2026,197,51661327,991.53,0,991.53,991.53,-0.99,0,990.38,8488075888,8488075888,,1,17/06/2026,NOVIA DEL MAR,-0.16,,14/06/2026,0
14/06/2026,73,51661613,"3,951.03",0,"3,951.03","3,951.03",-3.95,0,"3,946.45",8489189068,8489189068,,2,17/06/2026,SUBTENIENTE,-0.63,,14/06/2026,0
13/06/2026,1615,31667447,700,0,700,700,-0.7,0,699.19,7464542802,7464542802,,1,17/06/2026,BOLICHE,-0.11,,13/06/2026,0
13/06/2026,1616,31667447,"10,954.36",0,"10,954.36","10,954.36",-10.95,0,"10,941.66",7464542802,7464542802,,7,17/06/2026,BOLICHE,-1.75,,13/06/2026,0
13/06/2026,1617,31667447,"1,271.80",0,"1,271.80","1,271.80",-1.27,0,"1,270.33",7464542802,7464542802,,3,17/06/2026,BOLICHE,-0.2,,14/06/2026,0
13/06/2026,120,51661289,400,0,400,400,-0.4,0,399.54,8487957920,8487957920,,1,17/06/2026,KANISTE,-0.06,,14/06/2026,0
13/06/2026,195,51661327,"1,404.46",0,"1,404.46","1,404.46",-1.4,0,"1,402.84",8488075888,8488075888,,2,17/06/2026,NOVIA DEL MAR,-0.22,,13/06/2026,0
13/06/2026,196,51661327,581.04,0,581.04,581.04,-0.58,0,580.37,8488075888,8488075888,,1,17/06/2026,NOVIA DEL MAR,-0.09,,14/06/2026,0
13/06/2026,72,51661613,"1,501.27",0,"1,501.27","1,501.27",-1.5,0,"1,499.53",8489189068,8489189068,,1,17/06/2026,SUBTENIENTE,-0.24,,13/06/2026,0
13/06/2026,12,51661614,"1,443.98",0,"1,443.98","1,443.98",-1.44,0,"1,442.31",8489189142,8489189142,,2,17/06/2026,CASA DE JUSTICIA,-0.23,,13/06/2026,0
13/06/2026,13,51661614,"2,037.04",0,"2,037.04","2,037.04",-2.04,0,"2,034.67",8489189142,8489189142,,1,17/06/2026,CASA DE JUSTICIA,-0.33,,14/06/2026,0
12/06/2026,1612,31667447,"1,526.16",0,"1,526.16","1,526.16",-1.53,0,"1,524.39",7464542802,7464542802,,1,17/06/2026,BOLICHE,-0.24,,12/06/2026,0
12/06/2026,1613,31667447,"10,533.56",0,"10,533.56","10,533.56",-10.53,0,"10,521.34",7464542802,7464542802,,10,17/06/2026,BOLICHE,-1.69,,12/06/2026,0
12/06/2026,1614,31667447,"2,575.10",0,"2,575.10","2,575.10",-2.58,0,"2,572.11",7464542802,7464542802,,3,17/06/2026,BOLICHE,-0.41,,13/06/2026,0
12/06/2026,118,51661289,"1,880.57",0,"1,880.57","1,880.57",-1.88,0,"1,878.39",8487957920,8487957920,,2,17/06/2026,KANISTE,-0.3,,12/06/2026,0
12/06/2026,119,51661289,800,0,800,800,-0.8,0,799.07,8487957920,8487957920,,2,17/06/2026,KANISTE,-0.13,,13/06/2026,0
12/06/2026,193,51661327,"2,374.77",0,"2,374.77","2,374.77",-2.37,0,"2,372.02",8488075888,8488075888,,2,17/06/2026,NOVIA DEL MAR,-0.38,,12/06/2026,0
12/06/2026,194,51661327,"2,497.33",0,"2,497.33","2,497.33",-2.5,0,"2,494.43",8488075888,8488075888,,2,17/06/2026,NOVIA DEL MAR,-0.4,,13/06/2026,0
12/06/2026,24,51661328,"1,820.48",0,"1,820.48","1,820.48",-1.82,0,"1,818.37",8488075961,8488075961,,1,17/06/2026,ESCARGECA,-0.29,,12/06/2026,0
12/06/2026,15,51661330,859.66,0,859.66,859.66,-0.86,0,858.66,8488075995,8488075995,,1,17/06/2026,CHETUMAL PLAZA,-0.14,,12/06/2026,0
12/06/2026,16,51661330,"1,600.44",0,"1,600.44","1,600.44",-1.6,0,"1,598.58",8488075995,8488075995,,1,17/06/2026,CHETUMAL PLAZA,-0.26,,13/06/2026,0
12/06/2026,275,51661331,700.12,0,700.12,700.12,-0.7,0,699.31,8488076035,8488076035,,1,17/06/2026,BENITO,-0.11,,12/06/2026,0
